ds,y
1769987062.1117618,2962
1769987062.1184752,2962
1769987062.1276135,66
1769987062.1276426,2962
1769987062.1310747,66
1769987062.1310763,2962
1769987062.1449094,2962
1769987062.1459258,2962
1769987062.1610327,66
1769987062.1626554,74
1769987062.1630971,1514
1769987062.1720738,66
1769987062.172076,66
1769987062.1733472,2962
1769987062.1761665,74
1769987062.176331,66
1769987062.1780386,2962
1769987062.1900237,2962
1769987062.194012,66
1769987062.1941438,66
1769987062.2065036,66
1769987062.20724,66
1769987062.2072415,2962
1769987062.213817,66
1769987062.2175832,2962
1769987062.2251382,2962
1769987062.2413723,66
1769987062.241836,66
1769987062.2428083,66
1769987062.2428098,2962
1769987062.2559097,1514
1769987062.262264,2962
1769987062.2727742,2962
1769987062.2767766,66
1769987062.2767828,1514
1769987062.2831795,66
1769987062.2832468,1514
1769987062.9550436,74
1769987062.9553595,2962
1769987062.955042,2962
1769987062.9714162,2962
1769987062.9714148,2962
1769987062.9815645,66
1769987062.981572,66
1769987062.9815726,66
1769987062.9815636,66
1769987062.9815702,66
1769987062.981571,2962
1769987062.9920087,66
1769987063.0024436,2962
1769987063.0042734,66
1769987063.0042763,66
1769987063.004278,66
1769987063.0051155,66
1769987063.0103397,2962
1769987063.0229273,2962
1769987063.0335314,66
1769987063.0335364,2962
1769987063.0334396,2962
1769987063.0437834,66
1769987063.0437903,66
1769987063.0439122,66
1769987063.0450711,2962
1769987063.0541697,2962
1769987063.9587066,66
1769987063.9571936,52
1769987063.9586477,66
1769987063.9586482,66
1769987063.9586487,2962
1769987063.9688582,2962
1769987063.9690495,66
1769987063.969091,2962
1769987064.9581568,66
1769987064.9582057,2962
1769987064.9579434,2962
1769987064.9660556,66
1769987064.9665716,2962
1769987064.9665856,66
1769987064.9671395,66
1769987064.968786,74
1769987064.978449,2962
1769987064.9834702,66
1769987064.9839535,1514
1769987064.9871767,66
1769987064.9872026,74
1769987064.993659,2962
1769987064.9976094,66
1769987065.0012126,74
1769987065.006177,2962
1769987065.0094986,66
1769987065.0098474,66
1769987065.0102358,2962
1769987065.0145164,2962
1769987065.0278728,2962
1769987065.031705,2962
1769987065.0457175,66
1769987065.0457187,66
1769987065.0457194,2962
1769987065.0485268,66
1769987065.062272,74
1769987065.0626175,1514
1769987065.0714884,2962
1769987065.073292,66
1769987065.076955,66
1769987065.0776334,2962
1769987065.0881612,66
1769987065.0885491,52
1769987065.088771,2962
1769987065.0970993,66
1769987065.0973196,66
1769987065.1056862,1514
1769987065.1058028,74
1769987065.106418,74
1769987065.1067083,74
1769987065.1071413,66
1769987065.1075225,66
1769987065.1077561,2962
1769987065.1223345,78
1769987065.1253104,66
1769987065.1253166,74
1769987065.1257446,2962
1769987065.1310003,54
1769987065.1365376,2962
1769987065.1430225,2962
1769987065.1450655,66
1769987065.1563268,66
1769987065.1597674,74
1769987065.1609323,66
1769987065.1609414,74
1769987065.160942,66
1769987065.1614106,2962
1769987065.1720743,54
1769987065.1723747,66
1769987065.1786416,2962
1769987065.1915824,66
1769987065.1958756,66
1769987065.19588,2962
1769987065.2116277,1514
1769987065.2132185,2962
1769987065.221774,2962
1769987065.229888,66
1769987065.2298844,2962
1769987065.2303047,1514
1769987065.239381,1514
1769987065.2473445,2962
1769987065.2471557,66
1769987065.247627,1514
1769987065.2559998,2962
1769987065.2648854,66
1769987065.2649102,2962
1769987065.2732642,2962
1769987065.2828534,66
1769987065.2828662,54
